Enhets-ID,Namn,Zon,Klassificering,Capabilities,Verktyg
02824e25-13a4-45ab-ae41-e2f28582a759,Klot-31,Okänd,light,"onoff, dim",homey:app:com.ikea.tradfri
049cdb79-1069-4246-9c46-38eb8d614c76,LMDT-609,Okänd,sensor,alarm_motion,homey:app:se.nexa
0574aa59-ec5b-4d29-a2bb-8ac556328947,Matsal vä,Okänd,light,"onoff, dim, light_temperature",homey:app:com.ikea.tradfri
0865a88c-80a2-4518-81e2-ee5851bb610c,k7 — ÖV Huvudsovrum,Okänd,thermostat,"measure_temperature, target_temperature, measure_battery, alarm_contact.window, netatmo_thermostat_mode",homey:app:com.netatmo
0aac0600-996a-47f5-b408-b45a8f3bde6a,Spot-tak-01 (GU10),Okänd,light,"onoff, dim, light_temperature",homey:app:com.ikea.tradfri
0b0e3af0-da59-4848-b0b6-ecbc0cbf7793,Klot-23,Okänd,light,"onoff, dim",homey:app:com.ikea.tradfri
0c9b33df-1cb6-4bd0-ad7a-c3cc2aee48ed,VU-Effektmät,Okänd,socket,"onoff, measure_voltage, measure_current, measure_power, meter_power",homey:app:com.ikea.tradfri
0fa7f60e-7934-4268-8af1-e39c3664daa0,Klot-12,Okänd,light,"onoff, dim",homey:app:com.ikea.tradfri
11f32d19-dffe-4e11-8a64-b873f7ecdc79,BV Hall Hö,Okänd,light,"onoff, dim, light_temperature",homey:app:com.ikea.tradfri
12605755-e152-492c-8f2e-7b2fab2976b4,VU-3 (312538),Okänd,socket,onoff,homey:app:se.telldus
131777fc-2bd3-4ff9-840d-3cf3c6ee76e9,k7 — ÖV Sovrum Norr,Okänd,thermostat,"measure_temperature, target_temperature, measure_battery, alarm_contact.window, netatmo_thermostat_mode",homey:app:com.netatmo
139fe129-4e1b-4f04-be32-576f1fecbea6,Altherma Hotwatertank,Okänd,boiler,"meter_power, target_temperature, measure_temperature, onoff, thermostat_mode, fan_mode.powerful",homey:app:climate.onecta.daikin
15b96a44-082c-4283-8620-bfd352c535b6,k7 BV  — Vardagsrum,Okänd,thermostat,"measure_temperature, target_temperature, measure_battery, alarm_contact.window, netatmo_thermostat_mode",homey:app:com.netatmo
17726655-5548-47c1-96b5-fec3254f3591,Outdoor Occupancy Sensor GARAGE,Okänd,sensor,"alarm_motion, measure_temperature, measure_luminance, measure_battery, alarm_battery",homey:app:com.philips.hue.zigbee
1959c79e-46fc-4796-935f-43d83611f24a,Hall Generic Remote/Button,Okänd,remote,Ingen,homey:app:se.nexa
1ee07997-b173-4157-b918-77b67f247c85,Källarentre-Spot-13,Okänd,light,"onoff, dim",homey:app:com.ikea.tradfri
244bd924-8e0a-41a4-8099-7b9d1575296f,AltanSpot-04-RGBW,Okänd,light,"onoff, dim, light_mode, light_hue, light_saturation, light_temperature",homey:app:com.ikea.tradfri
254eb040-de08-4851-a5d7-3af5f549c886,Huvudsovrum,Okänd,light,"onoff, dim, light_temperature",homey:app:com.ikea.tradfri
269285e9-d8bb-4369-94cb-e15f459804a3,Spot-tak-05 (GU10),Okänd,light,"onoff, dim, light_temperature",homey:app:com.ikea.tradfri
287d7c9c-09cf-4c88-beea-828445c364e7,T01,Okänd,sensor,"measure_temperature, measure_humidity",homey:app:com.weather-sensors
29ffede3-b6c9-45cc-908f-2eb619a483e2,Spakvridare Smart Valve Controller LZ3,Okänd,other,onoff,homey:app:net.franceweb.nous
2a7e8428-61ef-4e76-9d8c-4b9bca523157,Sonos Move,Okänd,speaker,"speaker_album, speaker_artist, speaker_duration, speaker_next, speaker_playing, speaker_position, speaker_prev, speaker_repeat, volume_set, volume_mute, speaker_shuffle, speaker_track, sonos_group, sonos_audio_clip, measure_battery, alarm_charging",homey:app:com.sonos
2d6cf145-b2fd-4b19-a5c1-4b44904f6e3c,Namron Multisensor 4512734,Okänd,sensor,"measure_temperature, measure_humidity, measure_luminance, alarm_motion, measure_battery",homey:app:net.filllip-namron
2d76aad1-f6c1-405e-8bf0-0ee115b0dcec,01-Remote Control,Okänd,remote,alarm_battery,homey:app:com.ikea.tradfri
2edcde17-c7a2-4861-8cb6-a4721eb8b82c,Rörelse-Vallhorn-01,Okänd,sensor,"alarm_motion, measure_luminance, measure_battery",homey:app:com.ikea.tradfri
3084512c-1447-49b2-9f0d-10a816c5fd57,VUZ02 Switch,Okänd,socket,onoff,homey:app:com.telldus
30e1eaed-aa52-4d12-bd28-2794807df3cb,Oregon Regn PCR800,Okänd,sensor,"measure_rain, meter_rain, alarm_battery",homey:app:com.weather-sensors
30f2cfb2-9429-4c75-8a64-e7cb9013c46d,Sonos Roam,Okänd,speaker,"speaker_album, speaker_artist, speaker_duration, speaker_next, speaker_playing, speaker_position, speaker_prev, speaker_repeat, volume_set, volume_mute, speaker_shuffle, speaker_track, sonos_group, sonos_audio_clip, measure_battery",homey:app:com.sonos
31652f56-6942-42a3-8303-a152afa12a3a,Sonos Vardagsrum,Okänd,speaker,"speaker_album, speaker_artist, speaker_duration, speaker_next, speaker_playing, speaker_position, speaker_prev, speaker_repeat, volume_set, volume_mute, speaker_shuffle, speaker_track, sonos_group, sonos_audio_clip, sonos_ht_playback",homey:app:com.sonos
344590dc-cc35-4217-b7d6-d7907a5a817e,VU-A6Z-Nous,Okänd,socket,"onoff, measure_power, meter_power, measure_current, measure_voltage, button.reset_meter",homey:app:net.franceweb.nous
3487c09c-f725-4601-8cd8-c2cd2b38a94d,k7 (K7-INNE) — K7-INNE,Okänd,sensor,"measure_temperature, measure_humidity, measure_co2, measure_noise, measure_pressure",homey:app:com.netatmo
34d7ca28-7334-4c79-81ad-7711bef6d1fc,k7 — ÖV Sovrum Syd,Okänd,thermostat,"measure_temperature, target_temperature, measure_battery, alarm_contact.window, netatmo_thermostat_mode",homey:app:com.netatmo
3569b2b3-f460-40e3-a0a7-27e8f23168f7,k7 vind (K7-INNE) — K7-VIND,Okänd,sensor,"measure_wind_angle, measure_wind_strength, measure_gust_angle, measure_gust_strength, measure_battery",homey:app:com.netatmo
35ae3475-ad39-41b3-af84-6b9372a8c110,VS-AltanSpot Styrbar,Okänd,remote,measure_battery,homey:app:com.ikea.tradfri
37b67139-5bf1-48ba-82ab-68856fcb6d8e,WH2 kanske skyddsrum eller garage,Okänd,sensor,"measure_temperature, measure_humidity",homey:app:com.weather-sensors
3a4e51c8-509c-4543-83a4-fa8e5925404b,Matsal Hö,Okänd,light,"onoff, dim, light_temperature",homey:app:com.ikea.tradfri
3d78bc2a-a0af-4a6a-910f-cf8724fa91bf,VS-Trapp-ÖV-Styrbar,Okänd,remote,alarm_battery,homey:app:com.ikea.tradfri
3de53697-dada-45e6-824e-5099c9e0e9f2,Klot-33,Okänd,light,"onoff, dim",homey:app:com.ikea.tradfri
41e85cbc-3dbb-4dfa-9d45-089cabc7a86d,spisfläkt Dimbart Transformator,Okänd,light,"onoff, dim",homey:app:com.ikea.tradfri
449ec9a0-f0aa-4ba9-a2b9-56bb8e1b95b8,V-Rum Hö,Okänd,light,"onoff, dim, light_temperature",homey:app:com.ikea.tradfri
46174c80-cc02-45b2-aac4-7f5c2ce8a810,WH2 Inne Gatuplan,Okänd,sensor,"measure_temperature, measure_humidity",homey:app:com.weather-sensors
48369fcf-5c34-4eee-81b6-d275b5b2560a,Kristall-01,Okänd,light,"onoff, dim",homey:app:com.ikea.tradfri
48534830-cad4-4347-9ae1-9f9cd7992a08,Källarentre-Spot-11,Okänd,light,"onoff, dim",homey:app:com.ikea.tradfri
49ad9cc8-fcb0-437f-a2af-d37d3aaf3240,jan.norrfors@gaxor.se,Okänd,other,Ingen,homey:app:com.google.sheets
4b5d4c4e-c4f8-4627-b539-51ce7686b48f,Spot-tak-04 (GU10),Okänd,light,"onoff, dim, light_temperature",homey:app:com.ikea.tradfri
4ef6355b-569d-47d9-9ab9-67748e02042d,Sovrum Syd Dimmable Bulb (E27),Okänd,light,"onoff, dim",homey:app:com.ikea.tradfri
5480aa90-667b-4b2e-a217-9efa5aae805d,VS-Trapp-BV-Styrbar,Okänd,remote,measure_battery,homey:app:com.ikea.tradfri
56173f3e-924e-4d14-818b-7cab9793036e,Säng-HO (E14),Okänd,light,"onoff, dim, light_temperature",homey:app:com.ikea.tradfri
5714755f-a828-4381-b68c-cbb25d43e7a0,Källarentre-Spot-09,Okänd,light,"onoff, dim, light_temperature",homey:app:com.ikea.tradfri
59306f71-b2b8-4a41-a762-e2813ec78cae,Rörelse BV PA-88R,Okänd,sensor,alarm_motion,homey:app:se.telldus
59b17f0e-e148-4a03-825a-bcb236a590e8,Rörelse-Vallhorn-05,Okänd,sensor,"alarm_motion, measure_luminance, measure_battery",homey:app:com.ikea.tradfri
5bca7ea7-ea74-4cf8-b672-628065f4021b,VS-Sång Styrbar,Okänd,remote,measure_battery,homey:app:com.ikea.tradfri
5bed0a54-5408-470e-b2a8-9e95ff7f413e,Oregon Vind WGR800,Okänd,sensor,"measure_wind_angle, measure_gust_strength, measure_wind_strength, alarm_battery",homey:app:com.weather-sensors
5f5ac92c-2717-4379-9624-721d8d574212,VS-Hall-ÖV-Styrbar ,Okänd,remote,measure_battery,homey:app:com.ikea.tradfri
642923d4-fe73-4ca7-87a6-06cd2d15536f,Huvudingång Doprman,Okänd,lock,locked,homey:app:com.verisure.yale.doorman
676989c1-aa2d-4482-868c-06f5942cdc3e,Rörelse-Vallhorn-02,Okänd,sensor,"alarm_motion, measure_luminance, measure_battery",homey:app:com.ikea.tradfri
6ab632a3-937d-49cd-b731-82e30d7d6132,Garage-t01 Outlet,Okänd,socket,onoff,homey:app:com.ikea.tradfri
6b2997f5-ae40-4208-8fe5-40b0bfeba372,k7 — BV Hall,Okänd,thermostat,"measure_temperature, target_temperature, measure_battery, alarm_contact.window, netatmo_thermostat_mode",homey:app:com.netatmo
6c9e7efc-528a-485b-9535-d49ed7777d6c,YTTERtrapp-ORMANÄS,Okänd,light,"onoff, dim, light_mode, light_hue, light_saturation, light_temperature",homey:app:com.ikea.tradfri
6efa6c00-1855-4ccc-a6a6-5f4d753625e4,Spot-tak-03 (GU10),Okänd,light,"onoff, dim, light_temperature",homey:app:com.ikea.tradfri
7523d012-68a7-4e50-a2eb-9be6d2dbb89b,Huvudentre,Okänd,light,"onoff, dim",homey:app:com.ikea.tradfri
75306cba-0b1d-4524-bb2f-38963ba3768e,Outdoor Occupancy Sensor HUVUDENTRE,Okänd,sensor,"alarm_motion, measure_temperature, measure_luminance, measure_battery, alarm_battery",homey:app:com.philips.hue.zigbee
7cbd599f-ff04-499d-8e2d-972df466166f,Sonos Kök Play3,Okänd,speaker,"speaker_album, speaker_artist, speaker_duration, speaker_next, speaker_playing, speaker_position, speaker_prev, speaker_repeat, volume_set, volume_mute, speaker_shuffle, speaker_track, sonos_group, sonos_audio_clip",homey:app:com.sonos
7eabbc39-defc-4c0e-b520-53834a35503e,HUGO,Okänd,other,"mower_activity_capability, mower_mode_capability, mower_state_capability, mower_errorcode_capability, mower_battery_capability, mower_nextstart_capability, mower_inactivereason_capability, mower_lastposition_capability",homey:app:com.husqvarna.automower
7fae4d7c-0ded-4602-91b9-8510c8134d32,WH2 UTE Norr Inglas ,Okänd,sensor,measure_temperature,homey:app:com.weather-sensors
812e60e0-4c1d-4775-a09f-0c2f72baace5,BILRESA scroll wheel,Okänd,button,"measure_battery, button.identify",homey:app:com.ikea.tradfri
83dc1140-3931-4410-93ee-f6cd62946de8,AltanSpot-06-RGBW,Okänd,light,"onoff, dim, light_mode, light_hue, light_saturation, light_temperature",homey:app:com.ikea.tradfri
85642830-251a-472d-9ffd-be8a88a7723b,Rörelse  Badrum IKEA,Okänd,sensor,"alarm_motion, alarm_battery",homey:app:com.ikea.tradfri
8957331d-7768-4197-b479-ef6aa419ce67,VU-1 (312538),Okänd,socket,onoff,homey:app:se.telldus
8c82ffcd-5465-48ce-9e6d-6ebc81e3c3c2,k7 — ÖV Hall,Okänd,thermostat,"measure_temperature, target_temperature, measure_battery, alarm_contact.window, netatmo_thermostat_mode",homey:app:com.netatmo
8df0949a-4110-4fe8-8ba4-268df022b8e8,Adventsstjärna E14,Okänd,light,"onoff, dim, light_temperature",homey:app:com.ikea.tradfri
8e2abe5a-2b52-4a3f-9262-013d1e386c39,VUz-01Plug-in Switch Mini,Okänd,socket,"onoff, meter_power, measure_power, button.reset_meter, measure_current",homey:app:com.telldus
8e2f9ba9-1d67-417b-9866-fbe9ddf90cc1,VS-BV-Hall-Styrbar,Okänd,remote,alarm_battery,homey:app:com.ikea.tradfri
8f16c681-9f11-408f-b7b5-0f4f69fc9a4b,Tak Vrum,Okänd,light,"onoff, dim, light_temperature",homey:app:com.ikea.tradfri
8f244f99-7157-4721-b496-dc42e7e587d5,Sonos Roam2,Okänd,speaker,"speaker_album, speaker_artist, speaker_duration, speaker_next, speaker_playing, speaker_position, speaker_prev, speaker_repeat, volume_set, volume_mute, speaker_shuffle, speaker_track, sonos_group, sonos_audio_clip, measure_battery, alarm_charging",homey:app:com.sonos
