DeviceName;accumulatedCost;alarm_battery;alarm_charging;alarm_contact.window;alarm_motion;button.identify;button.reset_meter;dim;fan_mode.powerful;hot_water_mode.offset;light_hue;light_mode;light_saturation;light_temperature;locked;measure_battery;measure_co2;measure_current;measure_current.L1;measure_current.L2;measure_current.L3;measure_gust_angle;measure_gust_strength;measure_humidity;measure_luminance;measure_noise;measure_power;measure_pressure;measure_price_highest;measure_price_info_level;measure_price_level;measure_price_lowest;measure_price_total;measure_rain;measure_rain.1h;measure_rain.24h;measure_temperature;measure_temperature.leavingWaterTemperature;measure_temperature.outdoorTemperature;measure_voltage;measure_wind_angle;measure_wind_strength;meter_power;meter_power.exported;meter_power.imported;meter_power_today;meter_rain;mower_activity_capability;mower_battery_capability;mower_errorcode_capability;mower_inactivereason_capability;mower_lastposition_capability;mower_mode_capability;mower_nextstart_capability;mower_state_capability;my_4512744_thermostat_mode;my_ZV9092A_floor_sensor;my_ZV9092A_home_sensor;my_ZV9092A_temperature_control_reference;netatmo_thermostat_mode;onoff;price_level;sonos_audio_clip;sonos_group;sonos_ht_playback;speaker_album;speaker_artist;speaker_duration;speaker_next;speaker_playing;speaker_position;speaker_prev;speaker_repeat;speaker_shuffle;speaker_track;target_temperature;thermostat_mode;volume_mute;volume_set
Oregon Regn PCR800;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;2.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sonos Roam;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;341;;False;0;;none;False;Skärgårdsradion;;;False;0.12
Sonos Vardagsrum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vardagsrum;;;;224;;False;0;;none;False;TV Audio;;;False;0.24
VU-A6Z-Nous;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;;232;;;313.03;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
k7 (K7-INNE) — K7-INNE;;;;;;;;;;;;;;;;;520;;;;;;;25;;35;;996;;;;;;;;;21.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k7 — ÖV Sovrum Syd;;;;False;;;;;;;;;;;;75.6;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;;;schedule;;;;;;;;;;;;;;;;18.5;;;
k7 vind (K7-INNE) — K7-VIND;;;;;;;;;;;;;;;;48;;;;;;180;1;;;;;;;;;;;;;;;;;;-1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VS-AltanSpot Styrbar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WH2 kanske skyddsrum eller garage;;;;;;;;;;;;;;;;;;;;;;;;64;;;;;;;;;;;;;-7.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Matsal Hö;;;;;;;;0;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
VS-Trapp-ÖV-Styrbar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Klot-33;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
spisfläkt Dimbart Transformator;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
V-Rum Hö;;;;;;;;0;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
WH2 Inne Gatuplan;;;;;;;;;;;;;;;;;;;;;;;;28;;;;;;;;;;;;;22.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kristall-01;;;;;;;;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
Källarentre-Spot-11;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
jan.norrfors@gaxor.se;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spot-tak-04 (GU10);;;;;;;;0;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
Sovrum Syd Dimmable Bulb (E27);;;;;;;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;;;;;;;
VS-Trapp-BV-Styrbar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Säng-HO (E14);;;;;;;;0;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
Källarentre-Spot-09;;;;;;;;0;;;;;;0.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
Rörelse BV PA-88R;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rörelse-Vallhorn-05;;;;;False;;;;;;;;;;;97;;;;;;;;;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VS-Sång Styrbar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oregon Vind WGR800;;False;;;;;;;;;;;;;;;;;;;;;8.28;;;;;;;;;;;;;;;;;;292.5;6.84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VS-Hall-ÖV-Styrbar ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Huvudingång Doprman;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rörelse-Vallhorn-02;;;;;False;;;;;;;;;;;91;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Garage-t01 Outlet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;;;;;;;
k7 — BV Hall;;;;False;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;22.5;;;;;;;;;;;;;;;;;;;;;;;schedule;;;;;;;;;;;;;;;;23.5;;;
Spot-tak-03 (GU10);;;;;;;;0;;;;;;0.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
Huvudentre;;;;;;;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;;;;;;;
Outdoor Occupancy Sensor HUVUDENTRE;;False;;;False;;;;;;;;;;;100;;;;;;;;;376;;;;;;;;;;;;-0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sonos Kök Play3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kök Play3;;;;;;False;0;;none;False;P4 Västernorrland;;;False;0.23
HUGO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NOT_APPLICABLE;100;---;NONE;62.3816816,17.3108633;MAIN_AREA;---;OFF;;;;;;;;;;;;;;;;;;;;;;;;
WH2 UTE Norr Inglas ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BILRESA scroll wheel;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AltanSpot-06-RGBW;;;;;;;;0;;;0;temperature;0;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
Rörelse  Badrum IKEA;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VU-1 (312538);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
k7 — ÖV Hall;;;;False;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;;;schedule;;;;;;;;;;;;;;;;17;;;
Adventsstjärna E14;;;;;;;;0;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
VUz-01Plug-in Switch Mini;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;;;;;1.48;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
VS-BV-Hall-Styrbar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tak Vrum;;;;;;;;0;;;;;;0.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
Sonos Roam2;;;False;;;;;;;;;;;;;69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;0;;none;False;Skärgårdsradion;;;False;0.12
IKEA Symfonisk;;;;;;;;0;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
Bardisk Gen Plug-in On/Off;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
Klot-21;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
Klot-22;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
Jordglob Tunable White Bulb (E14);;;;;;;;0;;;;;;0.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
Bevattning VUZ03 Switch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
Oregon INNE;;False;;;;;;;;;;;;;;;;;;;;;;24;;;;;;;;;;;;;20.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spot-trapp-07 (GU10);;;;;;;;;;;;;;0.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WH2 ÖV  xx IN;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;19.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VU-2 (312538);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
AltanSpot-03;;;;;;;;0;;;0;temperature;0;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
VS BV Matbord Styrbar Remote Control;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Justerbar Vit Lampa (E14);;;;;;;;0.86;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
Smart ljusremsa L900 TAPO;;;;;;;;0.1;;;0;;0.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;True;;;;;;;;;;;;;;;;;;
Garage Höger;;;;;;;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;;;;;;;
Oregon Temp THGN800;;False;;;;;;;;;;;;;;;;;;;;;;85;;;;;;;;;;;;;-1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Element-Klimat;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;54;-1;;;;16826;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;;;;;heating;;
Sonos-Symfonisk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SONOS-Symfonisk;;;;;;False;0;;none;False;P4 Västernorrland;;;False;0.23
AltanSpot-07-RGBW;;;;;;;;0;;;0;temperature;0;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
Rörelse 02 Smart PIR Motion Sensor;;False;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V-Rum Vä;;;;;;;;0;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
Källarentre-Spot-12;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
Tibber Pris relativ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.1309;NORMAL;NORMAL;0.2238;1.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NORMAL;;;;;;;;;;;;;;;;;
AltanSpot-01;;;;;;;;0;;;0;temperature;1;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
k7 — BV Matsal;;;;False;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;21.5;;;;;;;;;;;;;;;;;;;;;;;schedule;;;;;;;;;;;;;;;;22;;;
Matbord led driver;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
Skydsrum  ;;;;;;;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;;;;;;;
Generic Remote/Button;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pulse Krokgatan 7;59.67;;;;;;;;;;;;;;;;;;2.1;22.8;0.7;;;;;;5589;;;;;;;;;;;;;;;;92.54;0;64161.78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spot-08 (GU10);;;;;;;;;;;;;;0.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spot-trapp-06 (GU10);;;;;;;;;;;;;;0.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k7 (K7-INNE) — K7-UTE;;;;;;;;;;;;;;;;23;;;;;;;;75;;;;;;;;;;;;;-20.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Källarentre-Spot-10;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
WH2 x OUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AltanSpot-05-RGBW;;;;;;;;0;;;0;temperature;0;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
Klot-11;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
V-Rum Hörn;;;;;;;;0;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
WH2 ny  UTE Telldus ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tak Hall;;;;;;;;0;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
Rörelse Källarentre dörr MYGGSPRAY wrlss mtn sensor;;;;;True;;;;;;;;;;;100;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Källarentre-Spot-14;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
VS-BV-Kök Spisfläkt Rodret;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Garage Vänster;;;;;;;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;;;;;;;
FK3 Generic Remote/Button;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02-Remote Control;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rörelse-Vallhorn-04;;;;;False;;;;;;;;;;;91;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WH2 ÖV UTE ;;;;;;;;;;;;;;;;;;;;;;;;25;;;;;;;;;;;;;24.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Huvudentre-RING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EWT0006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Automower-GRIND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
Rörelse-Vallhorn-03;;;;;False;;;;;;;;;;;90;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spot-trapp-02 (GU10);;;;;;;;0;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
Inglasning Spotl On/Off;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
BV Hall Vä;;;;;;;;0;;;;;;0.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
VS-AltanKlot Styrbar ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rörelse 03 Smart PIR Motion Sensor;;False;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ÖV Badrum termostat  4512744/45;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;18;;;;;;1789.4;;;;;;;;;;;;;manual_mode;18;22;room_floor_sensor;;True;;;;;;;;;;;;;;;18;;;
